"1. 医師：こんにちは、小川さん。今日はどうされましたか？
2. 患者：右の上のお腹が痛くて、熱もあって、気持ち悪いんです。
3. 医師：それはいつから続いていますか？
4. 患者：3日前ぐらいからですね。
5. 医師：痛みはどんな感じですか？持続的ですか？
6. 患者：はい、ずっと痛いです。特に食事の後にもっと痛みます。
7. 医師：なるほど、発熱はどのくらいの温度でしたか？
8. 患者：一番高くて38.5℃くらいありました。
9. 医師：吐き気もあるとのことですが、嘔吐はしましたか？
10. 患者：吐き気はあるけど、吐いてはいないです。
11. 医師：わかりました。他に症状はありますか？
12. 患者：特にありませんけど、体がだるいですね。
13. 医師：既往歴で胆石のことはありますか？
14. 患者：はい、以前にも胆石があると言われました。
15. 医師：今回の痛みはその胆石の時の痛みと似ていますか？
16. 患者：そうですね、同じような場所が痛いです。
17. 医師：なるほど。お腹を少し診察しますね。
18. 患者：はい、お願いします。
19. 医師：右上腹部に痛みがありますね。Murphy徴候も陽性です。
20. 患者：それって何ですか？
21. 医師：息を吸った時に右の上腹部を押すと痛むことです。
22. 患者：ああ、それ確かに痛いです。
23. 医師：体温は38.2℃で、血圧と脈拍は安定していますね。
24. 患者：そうなんですか。あまり気分は良くないですけど。
25. 医師：血液検査をしたところ、白血球が少し増えていて、炎症を示すCRPも高いです。
26. 患者：炎症ですか？どこが悪いんでしょうか？
27. 医師：おそらく胆嚢に問題がある可能性が高いです。
28. 患者：胆嚢ですか。でも、どうしてですか？
29. 医師：肝機能が軽度上昇し、超音波検査で胆嚢の壁が肥厚して泥状の内容物を確認しました。
30. 患者：それが胆石に関係あるんですか？
31. 医師：はい、そう思われます。画像でも胆石が確認されています。
32. 患者：それでこの痛みも出ているんですね。
33. 医師：急性胆嚢炎と診断されます。治療を始めましょう。
34. 患者：治療はどういったものになりますか？
35. 医師：絶食して静脈からの点滴を行い、抗菌薬を投与します。
36. 患者：薬はどんなものですか？
37. 医師：Piperacillin/Tazobactamという抗菌薬を使用します。
38. 患者：それで良くなりますか？
39. 医師：通常は炎症が和らぐと思います。手術が必要な場合もあります。
40. 患者：手術ですか…ちょっと怖いですね。
41. 医師：心配かと思いますが、安全に行うために必要です。
42. 患者：わかりました。よろしくお願いします。
43. 医師：今後の様子を見ながら判断していきましょう。
44. 患者：家族にも話しておいたほうがいいですかね。
45. 医師：そうですね、ご家族の協力も重要です。
46. 患者：うちの家族は協力的なので安心です。
47. 医師：それは良かったです。いくつかの手続きも含めてご説明しますね。
48. 患者：はい、お願いします。
49. 医師：炎症が治まってきたら、外科医と相談して手術の計画を立てます。
50. 患者：了解しました。お任せします。
51. 医師：最終的には腹腔鏡下で胆嚢を取り除くことになります。"
