"1. 医師：どのような症状で今日来られましたか？  
2. 患者：2日前からなんですが、体全体がだるくなって食欲もなくなりました。  
3. 医師：それ以外に何か変わったことはありましたか？  
4. 患者：昨日から皮膚が黄色くなってきて、今日は意識がモヤモヤして、頭がぼーっとしている感じです。  
5. 医師：それは心配ですね。他に体のどこかが痛いとか、気になることはありますか？  
6. 患者：お腹の上の方がずっと痛いです。それに、気持ち悪くて吐き気もあります。  
7. 医師：痛みは突然現れましたか、それとも少しずつ強くなりましたか？  
8. 患者：突然ではないですが、昨日の朝から痛み始めて、徐々に悪化してきました。  
9. 医師：痛みは鋭い痛みですか、それとも鈍い痛みですか？  
10. 患者：鈍い痛みが続いている感じです。  
11. 医師：お腹を押さえると痛みがさらに強くなりますか？  
12. 患者：はい、ちょっと押されると痛いです。  
13. 医師：現在の体温は分かりますか？  
14. 患者：測ってないですが、なんとなく熱っぽい感じがします。  
15. 医師：普段から何か病気を抱えているとか、お薬を飲まれていることはありますか？  
16. 患者：いいえ、今まで特別な病気になったことはありません。  
17. 医師：どなたかご家族で同じような症状や病気になった方はいらっしゃいますか？  
18. 患者：いいえ、家族もみんな健康なんです。  
19. 医師：これまでに似たような症状が出たことはありますか？  
20. 患者：全然ありません。こんなことは初めてです。  
21. 医師：食事や水分は取れていましたか？  
22. 患者：あまり食べられなくて、昨日はほとんど何も食べてないです。  
23. 医師：皮膚が黄色くなる以外に、体の他の変化に気づいたことはありますか？  
24. 患者：肌に小さな赤い点々が現れて、それからあざみたいなのも増えました。  
25. 医師：そのあざはどの部位に見られますか？  
26. 患者：腕や脚など、主に四肢にあります。  
27. 医師：頭がぼーっとすると言っていましたが、具体的にはどんな感じですか？  
28. 患者：ぼんやりして話が頭に入らない感じです。考えるのが難しいんです。  
29. 医師：その状態でも、周りの人が話しかけたことに反応できていますか？  
30. 患者：はい、反応はできていますが、いつもより時間がかかる感じです。  
31. 医師：最近、激しい運動をしたり、体に強い負荷がかかった出来事はありましたか？  
32. 患者：いいえ、特に何もありません。  
33. 医師：食生活で特別な制限をしていたり、ダイエットをしていたりしますか？  
34. 患者：特に何もしていません。  
35. 医師：海外旅行や不衛生な環境に行ったりしましたか？  
36. 患者：行っていません。  
37. 医師：職場や家族で他の人も体調を崩している人はいませんか？  
38. 患者：特にいません。  
39. 医師：お酒やタバコの習慣はありますか？  
40. 患者：お酒はたまに飲む程度で、タバコは吸いません。  
41. 医師：尿や便の色に変化を感じましたか？  
42. 患者：尿は少し濃いかなと思いましたけど、それくらいです。  
43. 医師：体がだるいとおっしゃいましたが、その症状は今も続いていますか？  
44. 患者：今も続いています。寝てもあまり楽になりません。  
45. 医師：血液の病気や肝臓の病気を疑って検査を進めますね。ご家族には連絡されていますか？  
46. 患者：夫には連絡しましたので、大丈夫だと思います。  
47. 医師：少し状況が重いかもしれませんが、しっかり原因を調べますので、安心してください。  
48. 患者：お願いします。早くこの状態をどうにかしたいです。  
49. 医師：検査の結果をもとに、黄疸や血小板の低さなどについて詳しく説明しますね。  
50. 医師：結果から、血液の凝固に関連する病気が原因だと考えられました。特にTTPという病気の可能性が高いです。"
