"1. 医師：こんにちは、今日はどういったことでお越しになりましたか？  
2. 患者：胸が痛くて、息切れもしているんです。  
3. 医師：痛みはいつから始まりましたか？  
4. 患者：約2時間前に突然始まりました。  
5. 医師：その痛みはどのような痛みですか？  
6. 患者：鋭い痛みで、左胸から肩にかけて広がります。  
7. 医師：息切れはどうですか？動いている時だけですか？  
8. 患者：安静にしていても息切れがあります。  
9. 医師：動悸は感じますか？  
10. 患者：はい、不規則な感じがします。  
11. 医師：症状が始まってから、その後の状態はどうでしたか？  
12. 患者：安静にしても全然改善しませんでした。  
13. 医師：そのため、受診を決めたのですね。  
14. 患者：はい、もう耐えられなかったので。  
15. 医師：ご家族はこの症状を見てどう言っていましたか？  
16. 患者家族：彼の様子が苦しそうで、すぐに病院に行くべきだと言いました。  
17. 医師：過去に心臓の問題はありましたか？  
18. 患者：いいえ、心疾患の既往歴はありません。  
19. 医師：高血圧はおありだそうですが、治療はしていますか？  
20. 患者：はい、アムロジピンを飲んでいます。  
21. 医師：生活習慣についてお聞きしたいのですが、喫煙はされてますか？  
22. 患者：いえ、タバコは吸いません。  
23. 医師：飲酒はどうですか？  
24. 患者：たまに飲むことはあります。  
25. 医師：他に特にストレスを感じるようなことはありますか？  
26. 患者：仕事が忙しくて、少しストレスを感じています。  
27. 医師：そのストレスが影響しているかもしれませんね。  
28. 患者：そうかもしれません。  
29. 医師：身近に心疾患の方はいらっしゃいますか？  
30. 患者：いいえ、特にいません。  
31. 医師：最近、体重の増減はありましたか？  
32. 患者：特に変化はないと思います。  
33. 医師：動機のほかにめまいや失神はありましたか？  
34. 患者：めまいは感じたことはないです。  
35. 医師：それは良いですね。胸痛はどのくらいの強さですか？  
36. 患者：10段階で7くらいの痛みです。  
37. 医師：痛みは持続していますか？それとも繰り返していますか？  
38. 患者：ずっと続いています。  
39. 医師：今、どのように感じますか？痛みの程度は変わりましたか？  
40. 患者：まだ同じくらいの強さです。  
41. 医師：実際に何か治療を受けていますか？  
42. 患者：まだ何もしていません。  
43. 医師：過去に似たような症状が出たことはありますか？  
44. 患者：いいえ、初めてです。  
45. 医師：特に思い当たる原因はありそうですか？  
46. 患者：特にはないと思います。  
47. 医師：これは心臓に関する検査が必要ですね。  
48. 患者：検査では何をしますか？  
49. 医師：心電図と血液検査を行う予定です。  
50. 患者：わかりました、お願いします。  
51. 医師：心電図の結果に基づいて、さらに詳しい検査が必要な場合もあります。  
52. 患者：そうですか、心配です。  
53. 医師：結果を見て、適切な対応をしましょう。  
54. 患者：はい、よろしくお願いします。  
55. 医師：お待たせしました、心電図にST上昇が見られました。  
56. 患者：それはどういうことですか？  
57. 医師：心筋に何らかの問題がある可能性があります。  
58. 患者：それは大変ですね。  
59. 医師：はい、心筋トロポニンTも上昇していました。  
60. 患者：じゃあ、何か治療が必要ですか？  
61. 医師：不安定狭心症が考えられます。冠動脈バイパス術を提案します。  "
