"1. 医師：こんにちは。今日はどのようなお悩みで受診されましたか？
2. 患者：こんにちは。目と口が乾くのが気になっているんです。
3. 医師：それは大変ですね。いつからその症状がありますか？
4. 患者：約3ヶ月前から続いています。
5. 医師：乾燥感は徐々に悪化していますか？
6. 患者：はい、特に朝起きた時に強いです。
7. 医師：乾燥感以外にも何か症状がありますか？
8. 患者：関節が痛むこともあります。
9. 医師：どの関節が痛むのでしょうか？
10. 患者：主に手首と膝です。
11. 医師：その関節痛は日常生活に支障がありますか？
12. 患者：あまり大きな支障はないですが、時々痛みが強くなります。
13. 医師：それは辛いですね。関節痛はどのくらいの頻度で起こりますか？
14. 患者：週に数回、特定の動作で痛むことがあります。
15. 医師：他に気になる症状はありませんか？
16. 患者：特にはないですが、疲れやすい感じはします。
17. 医師：疲れやすいというのは、最近ストレスなどもありましたか？
18. 患者：仕事が忙しいので、ストレスはありますね。
19. 医師：お仕事はどのような内容ですか？
20. 患者：デスクワークで、ずっとパソコンを使っています。
21. 医師：それは目にも負担がかかりそうですね。乾燥感が悪化する要因に感じますね。
22. 患者：そうかもしれません。
23. 医師：ご家族にも同じような症状の方はいらっしゃいますか？
24. 患者家族：はい、私の母が同じような症状を抱えています。
25. 医師：それは興味深いですね。家族歴は大切です。
26. 患者：母は、もう何年もこの症状で苦しんでいます。
27. 医師：それはお辛いですね。母上は何か治療を受けていますか？
28. 患者家族：特に治療はしていないようです。
29. 医師：そうですか。それについてお話を聞かせていただきありがとうございます。
30. 医師：もう少し詳しくお背中や関節を診せてもらえますか？
31. 患者：はい、どうぞ。
32. 医師：唇や口内は乾燥していますか？
33. 患者：はい、口腔内が特に乾いています。
34. 医師：お水を飲んでも口の乾きはすぐに戻りますか？
35. 患者：はい、すぐに戻ります。
36. 医師：口内にあまり唾液が作られていないのかもしれませんね。
37. 患者：そう言われるとそうかもしれないですね。
38. 医師：目の方はどうですか？特に乾燥感が強いタイミングはありますか？
39. 患者：やはり朝が一番ひどいです。
40. 医師：眼が乾く感じは、何か痛みもありますか？
41. 患者：目が疲れた感じはありますが、痛みはないです。
42. 医師：なるほど。目の充血があったりしませんか？
43. 患者：いいえ、充血は特にないです。
44. 医師：関節の腫れはどうですか？
45. 患者：軽く腫れている感じがあります。
46. 医師：それも気になりますね。最近、体重の変化はありましたか？
47. 患者：特に体重は変わっていません。
48. 医師：それは良かったです。他に心配なことはありませんか？
49. 患者：特に思い当たることはないです。
50. 医師：検査結果や所見から、Sjögren症候群が疑われます。"
