"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：最近お腹が張って、下痢が続いているんです。熱も出ています。  
3. 医師：いつごろから症状が始まりましたか？  
4. 患者：1週間くらい前からです。最初は軟便だったんですが、どんどん酷くなって。  
5. 医師：1日にどのくらいの回数トイレに行きますか？  
6. 患者：最近は1日6回以上、水のような便です。  
7. 医師：発熱はいつから気づきましたか？  
8. 患者：症状が酷くなりはじめてからです。38.5℃くらいの熱が出ています。  
9. 医師：腹部の膨満感はいつから感じていますか？  
10. 患者：数日前からですね。特に食後に不快感が強くなります。  
11. 医師：ほかに痛みはありますか？どの部分が気になりますか？  
12. 患者：下腹部が押されると痛いような感じです。  
13. 医師：最近、特別な薬を飲んだりしましたか？  
14. 患者：ああ、歯の治療で抗生物質を処方されました。  
15. 医師：どんな薬ですか？名前は覚えていますか？  
16. 患者：アモキシシリンだったと思います。先月の終わり頃から飲んでいました。  
17. 医師：そうですか。その治療を始めてから、便の状態に変化はありましたか？  
18. 患者：そうですね、初めは普通だったんですが、1週間くらいで軟便になりました。  
19. 医師：なるほど。他に新しい食べ物を食べたり、旅行に行ったりしましたか？  
20. 患者：いいえ、特に変わったことはしていません。  
21. 医師：糖尿病をお持ちと伺いましたが、血糖値の管理はどうされていますか？  
22. 患者：食事に気をつけてはいますが、HbA1cは少し高めなんです。最近7.8％だったと思います。  
23. 医師：なるほど。合併症として何か指摘されていますか？  
24. 患者：糖尿病性腎症と言われています。腎臓によくないから気をつけろと。  
25. 医師：そうですか。水分は十分に取れていますか？尿の量などは減っていませんか？  
26. 患者：あまり取れていないかもしれません。尿の量も少し減ったかも。  
27. 医師：体力的にはどうでしょう？何か普段より疲れやすい感じはありますか？  
28. 患者：確かに、最近疲れるのが早いですね。散歩するのも億劫になっています。  
29. 医師：腸の音が活発でしたが、腹部が特別に痛いわけではないですか？  
30. 患者：押すと痛いですが、ずっと痛いわけではありません。  
31. 医師：便に血が混じることはありますか？  
32. 患者：いいえ、血は見たことがありません。  
33. 医師：発疹や皮膚の異常などは見られましたか？  
34. 患者：いいえ、特に変わりありません。  
35. 医師：寒気や振動性の悪寒があるようなことは？  
36. 患者：熱が出たときに少し寒気はありましたが、振動するほどではないです。  
37. 医師：お腹の張り以外に、吐き気や嘔吐は？  
38. 患者：少し吐き気はありますが、吐いたことはありません。  
39. 医師：歯科治療の時に、他の感染症について言及がありましたか？  
40. 患者：いいえ、そのような話は特になかったです。  
41. 医師：ご家族の方に同じような症状の方はいらっしゃいますか？  
42. 患者：いいえ、家族はみんな元気です。  
43. 医師：便の検査結果ですが、Clostridium difficileという菌の毒素が陽性でした。  
44. 患者：それって何ですか？  
45. 医師：これは抗生物質が原因で腸内のバランスが崩れて起こる感染症です。  
46. 患者：そんなことがあるんですね。  
47. 医師：はい、特にアモキシシリンのような抗生物質を使うとリスクが高まることがあります。  
48. 患者：それでお腹の調子が悪かったんですね…。  
49. 医師：診断としては、Clostridium difficile感染による偽膜性大腸炎といいます。  
50. 患者：治るんですか？"
