"1. 医師：こんにちは、山田さん。今日はどのようなご用件でいらっしゃいましたか？
2. 患者：こんにちは。昨日、急に右半身が動かなくなって、言葉も出づらくなったんですけど、すぐに治ったんです。
3. 医師：それは驚かれたでしょうね。突発的なことだったんですか？
4. 患者：ええ、突然でした。1時間もしないうちに治ったので、少し安心したんですが...。
5. 医師：以前にも同じような症状があったことはありますか？
6. 患者：いえ、今回が初めてです。
7. 医師：なるほど。他にどんな症状がありましたか？
8. 患者：視界がぼやけた感じもありました。
9. 医師：わかりました。過去の病歴について教えていただけますか？特にお薬を飲んでいる場合はそれもお願いします。
10. 患者：高血圧があって、降圧薬を飲んでいます。
11. 医師：高血圧はどのくらい長くお持ちですか？
12. 患者：もう10年くらいでしょうか。
13. 医師：血圧の最近の数値はどのくらいですか？
14. 患者：普段は降圧薬で安定していますけど、最近は少し高めのときもあります。
15. 医師：具体的な数値をご存じですか？
16. 患者：今朝は測ってないんですが、前回は140台でした。
17. 医師：ありがとうございます。最近ストレスを感じることや生活の変化はありましたか？
18. 患者：特に変わったことはないですね。
19. 医師：昨日の症状の後、体調はどんな感じでしたか？
20. 患者：今は特に何も感じません。でも、再発しないか心配で。
21. 医師：視力の変化や、頭の痛みといった他の症状はありませんか？
22. 患者：視力は元に戻りましたし、頭痛もなしです。
23. 医師：お話を聞いて、その他に気になることはありますか？
24. 患者：とにかくもう一度症状が出たらどうしようって不安です。
25. 医師：わかりました。それでは検査結果に基づいてお話ししますね。MRIとMRAでは脳梗塞の徴候はありませんでした。
26. 患者：そうですか。それは少し安心ですが…。
27. 医師：しかし、頸動脈にいくらか狭窄があり、それが原因の可能性があります。
28. 患者：狭窄って、どのくらいあるんですか？
29. 医師：50-69%の狭窄が左内頸動脈に確認されています。
30. 患者：それで、この先はどうしたらいいのでしょうか？
31. 医師：一過性脳虚血発作、いわゆるTIAと判断されます。予防として抗血小板薬を始めます。
32. 患者：それはどんな薬ですか？
33. 医師：Aspirinを使用します。1日100mgですね。
34. 患者：副作用とかは大丈夫でしょうか？
35. 医師：一般的には胃の負担がありますが、問題を感じたらすぐに教えてください。
36. 患者：わかりました。他に気をつけることはありますか？
37. 医師：適度な運動とバランスの良い食事が大事です。
38. 患者：運動はどのくらいしたらいいですか？
39. 医師：ウォーキングなど、軽い運動を毎日30分ほどがおすすめです。
40. 患者：食事はどうしたら良いでしょうか？
41. 医師：塩分を控えめにし、野菜を多く取るように心掛けましょう。
42. 患者：それならできそうです。
43. 医師：また定期的な経過観察も必要ですので、半年後に再度検査を行います。
44. 患者：検査はどういったものですか？
45. 医師：もう一度MRAと頸動脈エコーを予定しています。
46. 患者：わかりました。忘れないようにします。
47. 医師：再発の兆候があればすぐに病院に来てください。
48. 患者：はい、気をつけます。
49. 医師：では、何か他に質問や不安なことはありますか？
50. 患者：今のところは大丈夫です。ご説明ありがとうございます。
51. 医師：こちらこそ、不安があればいつでもご相談ください。
52. 患者：安心しました。お世話になります。"
