"1. 医師：こんにちは。今日はどのような症状で来られましたか？
2. 患者：胸が痛くて、息苦しいんです。
3. 医師：痛みはいつから始まりましたか？
4. 患者：約30分前から急に痛みが出てきました。
5. 医師：痛みの強さや性質はどうですか？
6. 患者：鋭い痛みが左胸のあたりにある感じです。
7. 医師：痛みは何か特定の動作で悪化しますか？
8. 患者：深呼吸や咳をすると痛みが強くなります。
9. 医師：運動などの身体的な負荷はありましたか？
10. 患者：いえ、運動はしていませんでした。
11. 医師：以前に同じような症状を経験したことはありますか？
12. 患者：いいえ、今までそんなことはありませんでした。
13. 医師：他に気になる症状はありますか？
14. 患者：いま、すごく息苦しいです。
15. 医師：家族の方が何か気づいたことがありますか？
16. 患者家族：急に苦しそうになったので心配しました。
17. 医師：呼吸の状態はどうでしたか？苦しいのはいつから？
18. 患者：胸の痛みと一緒に急に苦しくなりました。
19. 医師：普段は健康でしたか？病歴は何かありますか？
20. 患者：特に重大な病歴はありません。
21. 医師：アレルギーなども無いですか？
22. 患者：はい、アレルギーもありません。
23. 医師：中に何か詰まっている感じはありますか？
24. 患者：そういう感じはないです。
25. 医師：胸の痛みは右側にもありますか？
26. 患者：いえ、左側だけです。
27. 医師：少し呼吸が速いようですね。どれくらい苦しいですか？
28. 患者：ちょっと緊張している感じがあります。
29. 医師：痛みは移動したりしますか？
30. 患者：痛みは動かないで左胸にあります。
31. 医師：じゃあ、どのくらいの頻度で息が苦しいですか？
32. 患者：ずっと苦しい状態です。
33. 医師：胸や背中に違和感はありますか？
34. 患者：特に背中は大丈夫です。
35. 医師：最近、気分が悪かったりしたことはありませんか？
36. 患者：最近は元気でした。
37. 医師：リラックスできる時間はありますか？
38. 患者：仕事が忙しくて、なかなか時間が取れません。
39. 医師：緊張しやすい性格ですか？
40. 患者：はい、ちょっと緊張しやすいです。
41. 医師：では、どのあたりが特に痛いのでしょう？
42. 患者：左の胸の真ん中あたりです。
43. 医師：痛みが広がることはありますか？
44. 患者：いいえ、その場所だけです。
45. 医師：息を吸うときにどんな感じがしますか？
46. 患者：息を大きく吸うと痛みが増します。
47. 医師：すでに酸素は吸入していますか？
48. 患者：まだ吸入はしていません。
49. 医師：どうしてここに来ようと思ったんですか？
50. 患者：あまりにも苦しかったので、来るしかないと思いました。
51. 医師：きちんと診察しましょう。胸部の検査をしましょうね。"
