"1. 医師：こんにちは。本日はどのような症状でご来院されましたか？  
2. 患者：2日前から熱が出て、右側の腰あたりが痛いんです。  
3. 医師：熱はどのくらい高いですか？  
4. 患者：38度を超える感じです。昨日は38.7度くらいでした。  
5. 医師：熱は突然上がった感じでしたか？それとも徐々にですか？  
6. 患者：急に上がったように感じます。  
7. 医師：腰の痛みはいつから始まりましたか？  
8. 患者：熱が出始めたと同じくらいに痛みも出ました。  
9. 医師：その痛みはどんな感じですか？鋭い痛みですか、それとも鈍い痛みですか？  
10. 患者：鈍い痛みで、じんわりとしている感じです。  
11. 医師：痛みは動いたときに強くなりますか？  
12. 患者：動いてもそこまで変わりませんが、じっとしてても痛いです。  
13. 医師：右側の腰以外に痛みや違和感がありますか？  
14. 患者：特にそこだけですね。  
15. 医師：他に体調で気になることはありますか？  
16. 患者：頻尿と排尿時の痛みが1週間前にあったんですが、よくなってたので放っておいたんです。  
17. 医師：そのとき、残尿感や尿の色の変化はありましたか？  
18. 患者：少し濁ってる感じがしましたが、その後普通になりました。  
19. 医師：以前に膀胱炎になったことはありますか？  
20. 患者：ええ、何度かあって、薬をもらって治った経験があります。  
21. 医師：そのとき、同じような腰の痛みや熱が出たことはありましたか？  
22. 患者：いえ、今回のように腰が痛いのは初めてです。  
23. 医師：今、食欲や飲み物はちゃんと摂れていますか？  
24. 患者：あまり食欲はないですが、水は飲むようにしています。  
25. 医師：体調は徐々に悪くなってきた感じですか？  
26. 患者：はい、この2日くらいで急に悪くなりました。  
27. 医師：ご家族の方で風邪や似たような症状がある方はいらっしゃいますか？  
28. 患者：いえ、家族には特にそういった人はいません。  
29. 医師：最近、何か変わったことをしましたか？例えば旅行や新しい運動ですとか。  
30. 患者：特に何もないです。ただ仕事がちょっと忙しかったくらいです。  
31. 医師：普段の生活で特にストレスや疲れを感じることはありますか？  
32. 患者：忙しかったので少し疲れはありましたが、これまでもそういうことはありました。  
33. 医師：では、今から少し体を診せていただきますね。  
34. 患者：はい、お願いします。  
35. 医師：触診中ですが、右側の腰を叩くと痛みますか？  
36. 患者：痛いです。結構響きます。  
37. 医師：右のお腹の下を押すと痛みますか？  
38. 患者：ちょっと痛いけど、そこまでひどくはありません。  
39. 医師：痛い場所が移動するような感じはありますか？  
40. 患者：いえ、右側の腰だけですね。  
41. 医師：皮膚に異常や腫れは認められないようですね。他には特に不快感はありますか？  
42. 患者：今のところは特にないです。  
43. 医師：尿検査と血液検査を行いましたが、少し炎症が強い結果が出ています。  
44. 患者：そうですか…。やっぱり病院に来てよかったです。  
45. 医師：尿から細菌も検出されており、炎症が腎臓にまで広がった可能性があります。  
46. 患者：そうなんですね…。どんな病気なんですか？  
47. 医師：急性腎盂腎炎という状態です。腎臓とその周りの組織に細菌が感染して炎症が起きています。  
48. 患者：膀胱炎とは違うんですか？  
49. 医師：膀胱炎より重い状態です。膀胱から上の腎臓に感染が広がることがあります。  
50. 患者：治るんですか？  
51. 医師：抗菌薬で治療すれば、通常は良くなります。しばらく入院治療が必要です。"
