"1. 医師：こんにちは、今日はどのような症状でいらっしゃいましたか？
2. 患者：最近、動悸と手の震えがあって、特に仕事中や家事をしているときにひどくなるんです。
3. 医師：それは何ヶ月くらい前から始まりましたか？
4. 患者：数ヶ月前から少しずつ始まった感じです。
5. 医師：他にも何か気になる症状はありますか？
6. 患者：そうですね、体重が落ちてきて、汗もよくかくようになりました。
7. 医師：体重はどのくらい落ちましたか？
8. 患者：5キロぐらいですかね、特に何もしてないのに。
9. 医師：過去に何か病気にかかったことはありますか？
10. 患者：特に大きい病気はしたことがないです。
11. 医師：薬は何か飲んでいますか？
12. 患者：いえ、特に薬は飲んでいません。
13. 医師：家族に甲状腺の病気の方はいらっしゃいますか？
14. 患者：たしか、母が甲状腺がちょっと悪いって言ってました。
15. 医師：最近、目が眩しくなることや異常に光を感じることはありますか？
16. 患者：眩しくなることは特に感じませんが、目がいつもより出ている気がします。
17. 医師：心拍数が速いと感じることはありますか？
18. 患者：はい、動悸がするときは特に速く感じます。
19. 医師：朝起きたとき疲れが残っている感じがしますか？
20. 患者：朝は意外と疲れていないことが多いです。
21. 医師：夜に寝つきが悪いことはありますか？
22. 患者：いや、寝つきは悪くないですね。
23. 医師：食欲はどうですか？
24. 患者：食欲はちゃんとあります、むしろよく食べてる気がします。
25. 医師：最近、体温が高いとか、寒いと感じることはありますか？
26. 患者：むしろ暑がりになった感じがします。
27. 医師：職場や家で特にストレスを感じることはありますか？
28. 患者：仕事でちょっと忙しくて、それがストレスかもしれませんね。
29. 医師：皮膚に異常はありませんか？
30. 患者：肌がいつもよりカサカサしている気がしますけど、それ以外は特にないです。
31. 医師：日常生活で困るようなことはありますか？
32. 患者：動悸と手の震えで、日常の細かい作業が少しやりにくいです。
33. 医師：周囲から症状について何か言われたりしましたか？
34. 患者：はい、家族に「痩せたね」とか「元気ないね」と言われました。
35. 医師：運動能力や体力に変化を感じますか？
36. 患者：いつもより疲れやすくなった気がします。
37. 医師：気持ちの変化や不安感が強くなることはありますか？
38. 患者：少しイライラしやすくなったかもしれません。
39. 医師：首元に違和感や痛みはありますか？
40. 患者：少し腫れてるような感触はありますが、痛みはないです。
41. 医師：最近の旅行や長距離旅行は行きましたか？
42. 患者：いいえ、特に遠くには行ってないです。
43. 医師：睡眠時間は普段どれくらいですか？
44. 患者：普段は6時間くらいです。
45. 医師：目の乾きや目が赤くなることはありますか？
46. 患者：そうですね、少し目が乾く感じがします。
47. 医師：ストレス解消のために何かされていますか？
48. 患者：スポーツを少しやってますが、最近はやれてません。
49. 医師：わかりました。いくつかの検査が必要になりますね。
50. 患者：お願いします。少しでも早く良くなりたいです。
51. 医師：検査結果ですが、Basedow病の可能性があります。
52. 患者：そうなんですね、それはどういう病気ですか？
53. 医師：甲状腺が過剰に働く状態で、治療が必要です。
54. 患者：治療はどのように行うんでしょう？
55. 医師：抗甲状腺薬と必要に応じてβ遮断薬を使用します。
56. 患者：わかりました、治療を頑張ります。"
