"1. 医師：こんにちは、今日はどのような症状でいらっしゃいましたか？  
2. 患者：こんにちは、左の腕が冷たく感じるのと、動くと息切れしやすいんです。あと、少し微熱もあって体がだるい感じです。  
3. 医師：これらの症状はいつ頃から始まりましたか？  
4. 患者：2か月前くらいからです。最初はそんなに気にしていなかったんですが、最近どんどんひどくなっています。  
5. 医師：左腕の冷たさはどんな時に強く感じますか？  
6. 患者：寒い時とか、重いものを持った後に特に冷たく感じることが多いです。  
7. 医師：右腕と比べて温度の違いを感じますか？  
8. 患者：はい、右腕はそんなことないんですけど、左腕だけ明らかに冷たいです。  
9. 医師：では、息切れについてですが、具体的にどんな時に症状が出ますか？  
10. 患者：洗濯物を干したり、少し早歩きしただけでも息が切れてしまう感じです。  
11. 医師：以前はそういった動作で息切れを感じることはありましたか？  
12. 患者：いいえ、今までは全然平気でした。  
13. 医師：微熱ですが、大体どれくらいの体温が出ていますか？  
14. 患者：37.5度くらいですね。ずっと続いている感じです。  
15. 医師：微熱は何かきっかけがあって始まりましたか？  
16. 患者：いえ、特に何か思い当たることはないです。風邪をひいた感じもないですし。  
17. 医師：体重の変化はありましたか？  
18. 患者：最近2キロくらい減りました。でも特にダイエットをしているわけでもないんです。  
19. 医師：左腕の冷たさ以外にしびれや痛みはありますか？  
20. 患者：しびれはないですけど、疲れやすくてだるい感じがします。  
21. 医師：倦怠感は他の部分でも感じますか？  
22. 患者：全体的にだるい感じですが、特に左腕が重たい感じは強いですね。  
23. 医師：過去に同じような症状を感じたことはありますか？  
24. 患者：いいえ、初めてです。  
25. 医師：家族や近しい方に同じ症状の方はいらっしゃいますか？  
26. 患者：特にいないと思います。  
27. 医師：慢性的な疾患やお薬を飲んでいることはありますか？  
28. 患者：特に病気はなくて、薬も飲んでいません。  
29. 医師：腕を使う仕事や趣味などありますか？  
30. 患者：仕事ではパソコンを使うことが多いです。趣味は特に腕を使うものではないです。  
31. 医師：左腕に力が入らないことはありますか？  
32. 患者：特に力が入らないと感じたことはないですが、疲れやすいです。  
33. 医師：食欲はどうですか？  
34. 患者：最近あまり食欲がないんです。  
35. 医師：頭痛や目の痛みは感じますか？  
36. 患者：いいえ、特にありません。  
37. 医師：首や肩に痛みや違和感がありますか？  
38. 患者：首や肩は特に問題ないです。  
39. 医師：最近何か体調を崩したり、感染症にかかったことはありますか？  
40. 患者：特に何もなかったです。  
41. 医師：足の方に浮腫みや冷たさを感じることはありますか？  
42. 患者：足は全然問題ないです。むくみとかもないです。  
43. 医師：心臓や血圧の病気を言われたことはありますか？  
44. 患者：それも言われたことはないです。  
45. 医師：お酒やタバコは日頃されますか？  
46. 患者：お酒はたまに飲むくらいで、タバコは吸わないです。  
47. 医師：左腕の動きに制約を感じることはありますか？  
48. 患者：疲れやすいですが、普通に動かせます。  
49. 医師：少し詳しく診察をさせていただいて大丈夫ですか？  
50. 患者：はい、お願いします。  "
