"1. 医師：こんにちは。今日はどのようなご症状でお越しになりましたか？  
2. 患者：最近ずっと疲れが抜けなくて、加えて右腕の脈が感じづらいんです。  
3. 医師：どれくらい前からそうした症状がありますか？  
4. 患者：2か月くらい前からです。徐々にひどくなってきています。  
5. 医師：最初に感じた症状はどんなものでしたか？  
6. 患者：最初はただ体がだるいだけでした。  
7. 医師：右腕の脈が感じづらいと気づいたのはいつ頃ですか？  
8. 患者：1か月くらい前に気づきました。右腕と左腕で違うのがはっきりわかりました。  
9. 医師：なるほど。頭痛があると伺いましたが、それはいつ頃からですか？  
10. 患者：頭痛は1週間前くらいからです。場所が特定できない感じで、なんとなく全体が重い感じです。  
11. 医師：発熱や体重が減るようなことはありませんでしたか？  
12. 患者：いえ、特にそんなことはありませんでした。  
13. 医師：右腕の違和感についてですが、他にしびれや力が入りづらいといったことはありませんか？  
14. 患者：しびれや力の問題は特に感じていません。  
15. 医師：家族で同じような症状の方や慢性の病気がある方はいませんか？  
16. 患者：家族には特にそういう人はいません。  
17. 医師：体がだるいと感じ始めた時、なにか特別な変化や生活のイベントなどありませんでしたか？  
18. 患者：いいえ、特に何も変わったことはないです。ただ普通に生活していました。  
19. 医師：普段お仕事や運動などはどんなことをされていますか？  
20. 患者：会社員です。運動は特にしていません。  
21. 医師：日常生活で困ることはありますか？例えば力仕事ができないとか？  
22. 患者：特に困ることはないんですが、右腕の状態が気になって仕事にも集中できなくて…。  
23. 医師：分かりました。日常的に薬を服用したりすることもないですか？  
24. 患者：はい、特に薬は飲んでいません。  
25. 医師：右腕の脈は、普段の何か動きや姿勢で変化することはありませんか？  
26. 患者：いえ、姿勢変えても特に変わらないと思います。  
27. 医師：体全体の倦怠感や頭痛がひどくなるタイミングや時間帯はありますか？  
28. 患者：特定の時間はないですね。ずっと感じているという感じです。  
29. 医師：右腕以外の体のどこかに違和感や痛みなどはありませんか？  
30. 患者：いえ、他の部分は特に何も問題ないです。  
31. 医師：倦怠感についてですが、起きたときが特にひどいとか、活動すると悪化するといったことはありますか？  
32. 患者：朝起きた時よりも、活動してるときの方が疲れやすい感じがします。  
33. 医師：腕や頭の症状に加えて、胸やお腹などに痛みはありませんか？  
34. 患者：胸やお腹に痛みはありません。  
35. 医師：最近、感染症にかかったり、風邪をひいたりしたことはありませんか？  
36. 患者：特にそういったことはなかったです。  
37. 医師：右腕を使うことで悪化や改善するということもないですか？  
38. 患者：右腕を動かしてもそれほど変わりません。  
39. 医師：頭痛について詳しくお聞きしますが、頭痛が突然強くなるとか吐き気が伴うことはありませんか？  
40. 患者：そういうことはないです。ただずっとなんとなく重い感じです。  
41. 医師：頭痛があるときに眩しい光や大きな音が刺激になることはありますか？  
42. 患者：特にそういうこともないですね。  
43. 医師：食事や睡眠に変化はありませんでしたか？  
44. 患者：食事や睡眠はいつも通りで問題はないと思います。  
45. 医師：血圧や心臓の検査を受けたことはありますか？  
46. 患者：以前健康診断を受けた時は問題ないと言われました。  
47. 医師：分かりました。診察を進めていく中で、全身の炎症が示唆されています。特に右上肢の脈が感じづらい点が気になりますね。  
48. 患者：そうなんですね…。何か大きな病気なんでしょうか？  
49. 医師：現時点では、高安動脈炎の疑いが強いです。これは血管が炎症を起こし、血流が悪くなる病気です。  
50. 患者：そうですか…。治療はどうなるんですか？  
診断を伝えたため、ここで終了とします。"
