"1. 医師：今日はどうなさいましたか？  
2. 患者：左手が勝手に震えて、歩くときにもふらつくようになってきたんです。  
3. 医師：それはいつ頃から気になり始めましたか？  
4. 患者：1年くらい前ですね。最初は震えだけだったんですが、最近は歩くのも不安定です。  
5. 医師：左手の震えはどのようなときに強くなりますか？  
6. 患者：何もしていないときに震えるんです。動かそうとすると止まる感じで。  
7. 医師：震えが始まった時期、他に何か変わったことはありませんでしたか？  
8. 患者：特には覚えていません。ただ動きが少しぎこちない気がします。  
9. 医師：ぎこちない感じはどんなときに顕著になりますか？  
10. 患者：ジャケットを着たり、ボタンを留めたり、手先の細かい作業が難しいです。  
11. 医師：歩行時のふらつきについて詳しく教えてください。  
12. 患者：足がうまく前に出せずに、小刻みになってバランスを崩しそうになります。  
13. 医師：転んだりしたことはありますか？  
14. 患者：まだ転んではいませんが、しょっちゅうつまずきそうになります。  
15. 医師：家の中ではどうですか？安定して動けますか？  
16. 患者：家の中でも不安定な感じで、特に立ち上がったときに怖いです。  
17. 医師：左手以外に震えが出ている部位はありますか？  
18. 患者：いえ、震えは左手だけですね。  
19. 医師：ご自身の健康歴について教えてください。特にこれまで大きな病気やけがは？  
20. 患者：特にありません。血圧が少し高めで薬を飲んでいますが、それ以外は特に。  
21. 医師：ご家族で同じような症状の方はいらっしゃいますか？  
22. 患者：いえ、家族でこんな症状になった人はいません。  
23. 医師：その他に体の調子で気になることはありますか？  
24. 患者：最近、動作が全体的に遅くなった気がします。  
25. 医師：具体的にはどのような場面で遅さを感じますか？  
26. 患者：たとえば、歯磨きや食事をするときに手が遅く感じます。  
27. 医師：筋肉の硬さを感じることはありますか？  
28. 患者：はい。左側が特に硬くて、手が思うように動かないことがあります。  
29. 医師：睡眠には問題がありますか？  
30. 患者：特に問題なく寝られています。  
31. 医師：尿や便のトラブルはありますか？  
32. 患者：それは特にありませんね。  
33. 医師：匂いを感じ取る力に変化を感じたことはありますか？  
34. 患者：考えてみれば、前ほど匂いがよくわからなくなっています。  
35. 医師：趣味や日常生活で楽しんでいることには影響はありますか？  
36. 患者：そうですね、ゴルフをやっていましたが、最近はクラブも握りにくいです。  
37. 医師：気分はどうですか？気分が優れない、落ち込む、イライラすることは？  
38. 患者：特にはないんですが、この体の状態が不安です。  
39. 医師：日常生活の中でどの動作が特に難しいと思いますか？  
40. 患者：服を着ることと、歩行が一番困りますね。  
41. 医師：運動やリハビリを行ったことはありますか？  
42. 患者：いえ、特に運動らしいことはしていません。  
43. 医師：お仕事や日常でストレスを感じることはありますか？  
44. 患者：リタイアしているので特段ストレスはありませんよ。  
45. 医師：震える手を無理に止めようとするとどう感じますか？  
46. 患者：少しだけ落ち着く気もしますが、また震えます。  
47. 医師：さっき仰った小刻み歩行についてですが、歩き始めや止まるときはどうですか？  
48. 患者：特に歩き始めが大変なんです。止まるときもうまくブレーキがかけられない感じです。  
49. 医師：今までに神経の病気を診てもらったことはありますか？  
50. 患者：いいえ、初めてです。  
51. 医師：お話を伺い、身体所見を総合した結果、パーキンソン病の可能性が高いです。"
