"1. 医師：田中さん、今日はどんな症状でお困りでしょうか？
2. 患者：数カ月前からずっと疲れていて、便秘も続いているんです。
3. 医師：疲れはどのくらい前から続いていますか？
4. 患者：たぶん、3、4カ月前からです。
5. 医師：休んでもその疲労感は変わりませんか？
6. 患者：はい、休んでもあまり良くならないんです。
7. 医師：便秘の状態はどうですか？
8. 患者：数週間前から便秘がひどくて、なかなか出ない感じです。
9. 医師：排便の頻度はどのくらいですか？
10. 患者：週に1回か2回ぐらいですね。
11. 医師：ほかに体の変化を感じることはありますか？
12. 患者：体重が少し増えて、寒さに敏感になった気がします。
13. 医師：体重はどのくらい増えましたか？
14. 患者：ここ2、3カ月で2キロぐらいかなと思います。
15. 医師：体温の変化や寒気を感じることはありますか？
16. 患者：寒いと感じることが多くなりました。
17. 医師：皮膚や顔色について何か変化は感じますか？
18. 患者：肌が乾燥してきた気がします。
19. 医師：顔や目のあたりの変化はどうですか？
20. 患者：目の周りが少しむくんでいるような感じです。
21. 医師：心拍数や血圧について自覚症状はありますか？
22. 患者：特に感じることはないですね。
23. 医師：甲状腺が少し腫れているようですが、痛みはありますか？
24. 患者：いいえ、痛みはありません。
25. 医師：何か他の持病やアレルギーはありますか？
26. 患者：特にありませんね。
27. 医師：ご家族で同じような症状のある方はいらっしゃいますか？
28. 患者：特に聞いたことはないです。
29. 医師：仕事のストレスや生活の変化はありましたか？
30. 患者：仕事はいつも忙しいですが、それほど大きな変化はないと思います。
31. 医師：最近行った血液検査で異常があったそうですが、具体的に何の検査か覚えていますか？
32. 患者：甲状腺のホルモンの検査だったと思います。
33. 医師：結果にはTSHというホルモンの値も含まれていたかな？
34. 患者：はい、確かにそうでした。
35. 医師：その結果について何か医師から説明はありましたか？
36. 患者：詳しくは言われてませんが、異常があるとは言われました。
37. 医師：抗体の検出についても何かお聞きしましたか？
38. 患者：よくわからなかったです。
39. 医師：なるほど、そこで少し確認なんですが、炎症の兆候は出ていましたか？
40. 患者：炎症って言われたことはなかったですね。
41. 医師：内容としては慢性的な疲労や便秘が特徴的ですね。
42. 患者：そうですね、ずっと続いています。
43. 医師：甲状腺の問題が影響している可能性がありますね。
44. 患者：甲状腺が関係しているんですね。
45. 医師：血液検査の結果からも、橋本病という状態が考えられます。
46. 患者：橋本病ってどういう病気なんですか？
47. 医師：自己免疫性の病気で、甲状腺機能が低下するものです。
48. 患者：それでこういう症状が出てくるんですね。
49. 医師：はい、甲状腺ホルモンを補充する治療を行いますと改善が期待できます。
50. 患者：そうなんですね、治療を始めてみたいです。"
