"1. 医師：こんにちは、どうされましたか？  
2. 患者：2日前からお腹が張っていて、特に左下の方が少し痛いんです。  
3. 医師：それは心配ですね。他にはどんな症状がありますか？  
4. 患者：便秘気味で、微熱もあります。昨日37.8℃ぐらいでした。  
5. 医師：なるほど。痛みはどんな感じですか？たとえば鋭いとか、重苦しいとか。  
6. 患者：重くてじわじわと持続的な感じです。じっとしていても痛いです。  
7. 医師：痛みは少しずつひどくなってきていますか？  
8. 患者：はい、最初は軽かったんですけど、徐々に強くなってきた感じです。  
9. 医師：食欲はありますか？  
10. 患者：最近はあまり食べたくなくなりました。  
11. 医師：吐き気や嘔吐、下痢はありますか？  
12. 患者：いいえ、吐いたりお腹をくだしたりはしていません。  
13. 医師：便秘ということですが、最後に普通に便が出たのはいつですか？  
14. 患者：4日前くらいです。それ以来、少しずつ便が出にくくなりました。  
15. 医師：便に血が混じることはありませんか？  
16. 患者：血は見たことないです。  
17. 医師：普段の便秘の頻度はどれくらいですか？  
18. 患者：普段はそんなに便秘することはありません。  
19. 医師：これまでに似たような症状を経験したことはありますか？  
20. 患者：いえ、こんな症状は初めてです。  
21. 医師：何か特定のものを食べた後にこの症状が出たと思いますか？  
22. 患者：思い当たるものはないですね。  
23. 医師：お水やお茶などはしっかり飲めていますか？  
24. 患者：普通に飲めています。  
25. 医師：腹部の張りですが、どのくらい気になる状態ですか？  
26. 患者：服がきつく感じるぐらいで、不快です。  
27. 医師：咳や呼吸のしづらさはありませんか？  
28. 患者：それは全くないです。  
29. 医師：ご自分で体温を測ったとき、いつも微熱程度でしたか？  
30. 患者：はい、37度台がしばらく続いていますね。高熱にはなっていません。  
31. 医師：過去の病気で、特にお腹に関する問題があったことはありますか？  
32. 患者：特別な病気はないです。  
33. 医師：基礎疾患や慢性的な病気、あるいは服用している薬はありますか？  
34. 患者：高血圧で薬を飲んでいますが、問題なくコントロールされています。  
35. 医師：家族に腸や消化器の病気がある方はいらっしゃいますか？  
36. 患者：特にそういう話は聞いていないです。  
37. 医師：最近体重の変化や疲れやすさを感じることはありましたか？  
38. 患者：体重は変わっていませんが、疲れやすくなった気はします。  
39. 医師：普段の生活習慣について教えてください。例えば食事内容や運動量など。  
40. 患者：食事は普通にしていて、少し歩くくらいの運動はしています。  
41. 医師：普段食物繊維が豊富な食事を心がけていますか？  
42. 患者：そこまで意識していないですね。  
43. 医師：お腹の痛み以外に、背中や足など他の部位に痛みはありますか？  
44. 患者：いいえ、ありません。  
45. 医師：お腹を触らせていただきますね。少し押しますので教えてください。  
46. 患者：はい、左の下の方が特に痛い感じです。  
47. 医師：ありがとうございます。それでは必要な検査をしますのでお待ちください。  
48. 患者：わかりました、よろしくお願いします。  
49. 医師：検査結果が出ました。炎症があるようで、S状結腸の憩室炎が疑われます。  
50. 患者：そうなんですね…。それはどういう病気なんですか？  "
