"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：ここ2週間くらい、右側の頭がすごく痛くて、市販の薬が全然効きません。  
3. 医師：右側の頭痛ですか。それは、どのあたりが特に痛みますか？  
4. 患者：右のおでこから耳の上にかけて、一番痛いです。  
5. 医師：なるほど、その痛みはどんな感じですか？例えば、ズキズキするような感じですか？  
6. 患者：はい、ズキズキした感じで、ずっと続いています。  
7. 医師：痛みは急に始まりましたか、それとも徐々に強くなりましたか？  
8. 患者：最初は少し痛いくらいでしたが、数日で急に強くなった感じです。  
9. 医師：頭痛以外に他の症状はありますか？  
10. 患者：それが、熱も続いているんです。最近、だるさや食欲もなくなってきました。  
11. 医師：熱はいつから出ていますか？  
12. 患者：たぶん1週間くらい前からだと思います。  
13. 医師：測った体温はどのくらいありましたか？  
14. 患者：38度とか、それ以上ある日もありました。  
15. 医師：食欲がないとのことですが、他には体重の減少などはありますか？  
16. 患者：特に体重が減った感じはないですね。  
17. 医師：だるさや倦怠感はいつ頃から感じますか？  
18. 患者：頭痛が強くなった頃からずっとです。  
19. 医師：最近、右目の視力に問題があると伺っていますが、それについて教えてください。  
20. 患者：右目の見え方がおかしいなと思うのは1週間くらい前からです。最初は少しぼやけるくらいだったんですが…。  
21. 医師：それは今も続いていますか？  
22. 患者：はい、右目はまだぼやける感じで、少し暗く見えるところもあります。  
23. 医師：目の痛みや腫れ、赤みなどはありますか？  
24. 患者：目自体は痛くないし、外見も特に変わっている感じはないと思います。  
25. 医師：眼科で何か特別な診断や説明を受けましたか？  
26. 患者：血管が腫れているかもしれないと言われて、こちらを紹介されました。  
27. 医師：血管とおっしゃいましたが、具体的にどのあたりか言われましたか？  
28. 患者：詳しくは分かりませんが側頭部のあたりだと言ってました。  
29. 医師：右側頭部に痛みや触れると響くような違和感はありますか？  
30. 患者：そうですね、触ると痛いんです。それに少し腫れている気がします。  
31. 医師：最近の体調で、発疹や皮膚の色の変化などはありますか？  
32. 患者：特に発疹はないと思います。ただ、頭が赤い気がします。  
33. 医師：過去に頭痛や視力が悪くなった経験はありますか？  
34. 患者：いえ、こんな強い痛みや見えにくさは初めてです。  
35. 医師：高血圧があると伺っていますが、他に持病や服用中のお薬はありますか？  
36. 患者：高血圧だけです。それも薬でコントロールしていました。  
37. 医師：血圧のお薬の種類や服用スケジュールを教えてもらえますか？  
38. 患者：はい、朝に1回飲むので覚えています。名前は確か…ちょっと忘れちゃいました。  
39. 医師：最近、肩や首周りの違和感、こわばりなどはありませんでしたか？  
40. 患者：首の後ろが少し重い感じがしますが、それ以外はなかったです。  
41. 医師：ちなみに、歩行時のバランス感覚や手足のしびれなどは問題ありませんか？  
42. 患者：特にそんな症状は感じていません。  
43. 医師：睡眠はとれていますか？痛みなどで眠れないことはありますか？  
44. 患者：頭痛がひどいので、夜中に目が覚めることが多いです。  
45. 医師：日中の活動に支障が出ていますか？  
46. 患者：はい、この2週間あまりにも頭痛がひどくて、ほとんど家で横になっていました。  
47. 医師：ご家族の皆さんもこの症状を心配されていますか？  
48. 患者：はい、主人も娘もとても心配してくれています。  
49. 医師：分かりました。いくつか検査を行い、その結果を基に診断を考えたいと思います。  
50. 医師：結果が出ました。巨細胞性動脈炎という病気が強く疑われます。"
