"1. 医師：こんにちは、今日はどうしましたか？
2. 患者：喉が痛くて、熱があるんです。
3. 医師：喉の痛みと熱はいつから続いていますか？
4. 患者：3日前くらいからです。
5. 医師：特に痛みが強くなる時間帯はありますか？
6. 患者：夕方から夜にかけてが一番つらいです。
7. 医師：熱はどれくらい出ていますか？
8. 患者：38.5℃以上あります。
9. 医師：食事は取れていますか？
10. 患者：飲み込むのが痛くて、あまり食べられません。
11. 医師：過去に同じような症状が出たことはありますか？
12. 患者：いえ、初めてです。
13. 医師：最近、風邪を引いた人と接触しましたか？
14. 患者：いえ、特に思い当たらないです。
15. 医師：他に変わった症状はありますか？
16. 患者：喉以外は特にないです。
17. 医師：家族や学校の友達はどうですか？似た状態の人はいませんか？
18. 患者：兄弟は元気なんですけど、学校の友達が風邪っぽかったかな。
19. 医師：喉を見せてください。少し口を開けてください。
20. 患者：はい。
21. 医師：喉が赤く腫れていますね。扁桃腺も大きくなっているようです。
22. 患者：扁桃腺ってなんですか？
23. 医師：喉の後ろの部分で、大きくなると膿ができたりします。今、それが見えています。
24. 患者：膿ですか、痛そうですね。
25. 医師：頸のリンパ節も少し腫れていますね。触ってみましょう。
26. 患者：ちょっと痛いです。
27. 医師：鼻水や咳は出ていますか？
28. 患者：鼻水はちょっとだけ出ます。咳はないです。
29. 医師：咳がないのは良いですね。お腹は痛くないですか？
30. 患者：お腹は大丈夫です。
31. 医師：呼吸は問題なさそうです。普段は元気で、病気はあまりしませんか？
32. 患者：はい、普段は健康です。
33. 医師：なるほど。最近ストレスや疲れが溜まっていたことはありますか？
34. 患者：学校が少し忙しかったかも知れません。
35. 医師：それは大変ですね。少し寝不足だったりしますか？
36. 患者：そうですね、夜更かししちゃったりして。
37. 医師：睡眠も大事ですから、気をつけましょうね。
38. 患者：はい、気を付けます。
39. 医師：今から検査をするので、少し待っていてください。
40. 患者：わかりました。
41. 医師：検査の結果が出ましたが、お話ししても大丈夫ですか？
42. 患者：はい、大丈夫です。
43. 医師：調べたところ、溶連菌という菌が原因の咽頭炎です。
44. 患者：それはどういうものですか？
45. 医師：喉の奥に感染が起こっている状態ですね。主に喉の痛みと高熱が出ます。
46. 患者：どうやったら治せるんですか？
47. 医師：抗生物質を使います。これで菌を退治できます。
48. 患者：それで痛みも良くなりますか？
49. 医師：はい、しっかり薬を飲めば痛みや熱も下がります。
50. 患者：わかりました、ちゃんと薬を飲みます。"
