"1. 医師：今日はどうしましたか？
2. 患者：数週間前から微熱と体のだるさが続いています。
3. 医師：それだけではなく、関節の痛みもありますか？
4. 患者：はい、特に朝起きるときに関節が痛みます。
5. 医師：痛みが始まったのはいつ頃からですか？
6. 患者：痛みはだいたい2週間ほど前からです。
7. 医師：どの関節に痛みを感じますか？
8. 患者：手と膝の関節が特に痛いです。
9. 医師：顔に何か変わったことはありますか？
10. 患者：数日前に頬に赤い発疹ができました。
11. 医師：それはどんな形をしていますか？
12. 患者：蝶々の形をしていると言えば、そんな感じです。
13. 医師：他に発疹はありますか？
14. 患者：全身にもぽつぽつとした発疹が広がっています。
15. 医師：発疹は日光に当たるとどうなりますか？
16. 患者：日光に当たると悪化します。
17. 医師：なるほど。体調で他に気になることはありますか？
18. 患者：全身がだるくて、口の中にもできものがあります。
19. 医師：口の中の潰瘍について教えてください。
20. 患者：舌や頬の内側に小さな潰瘍があります。
21. 医師：リンパ腺やお腹の調子はどうですか？
22. 患者：リンパやお腹は特に問題ないです。
23. 医師：熱はどのくらいありますか？
24. 患者：37度台の微熱が続いています。
25. 医師：これまで病気や服用している薬はありますか？
26. 患者：特にありません。
27. 医師：ご家族に同じような症状の方はいらっしゃいますか？
28. 患者：いいえ、家族にはいません。
29. 医師：最近、何かストレスを感じることはありましたか？
30. 患者：特にないですが、学校のことは少し心配になります。
31. 医師：関節の腫れや変形は感じますか？
32. 患者：腫れはありますが、変形はないようです。
33. 医師：それでは、詳しく検査を行ってみましょう。
34. 患者：お願いします。
35. 医師：血液検査や尿検査を行いますね。
36. 患者：はい、よろしくお願いします。
37. 医師：検査結果がわかったらお知らせしますね。少々お待ちください。
38. 患者：はい、わかりました。
39. 医師：検査の結果、いくつか異常が見つかりました。
40. 患者：何か悪い病気ですか？
41. 医師：全身性エリテマトーデスという病気の可能性が高いです。
42. 患者：その病気はどんなものですか？
43. 医師：免疫系に問題が生じる疾患です。
44. 患者：治療法はありますか？
45. 医師：ステロイドなどで治療が可能です。
46. 患者：そうですか、治療してよくなるのでしょうか？
47. 医師：治療を始めれば症状が改善することが多いです。
48. 患者：安心しました。
49. 医師：次回の診察で、治療計画をお話ししますね。
50. 患者：はい、よろしくお願いします。"
