"1. 医師：今日はどのような症状でお越しいただきましたか？
2. 患者：最近、激しい頭痛が左側に出てとても辛いです。
3. 医師：頭痛はいつから始まりましたか？
4. 患者：約1週間前からです。
5. 医師：その頭痛は毎日続いていますか？
6. 患者：はい、毎日決まった時間に発作が起きます。
7. 医師：頭痛が起こる時間帯はいつですか？
8. 患者：主に早朝や就寝中に痛みが強くなることが多いです。
9. 医師：痛みの強さはどのくらいですか？
10. 患者：耐え難いほどの痛みで、泣き叫びたくなるような感覚です。
11. 医師：痛みは片側だけですか？
12. 患者：はい、左側だけです。
13. 医師：頭痛の発作はどのくらいの期間続きますか？
14. 患者：だいたい30分から1時間くらいです。
15. 医師：その間に他に症状はありますか？
16. 患者：左目が赤くなって、鼻が詰まります。
17. 医師：目の周りにむくみはありますか？
18. 患者：はい、目の周りがむくんでいます。
19. 医師：これまでに頭痛の症状で受診したことはありますか？
20. 患者：今回は初めてです。
21. 医師：家族にも同じような症状の人はいますか？
22. 患者家族：彼女はお酒をたくさん飲む後に頭痛が起きていましたが、ずっと続いてはいませんでした。
23. 医師：お酒を飲むことが関係しているかもしれませんね。
24. 患者：そうかもしれません。
25. 医師：頭痛が起こる前に何か特別なことはありましたか？
26. 患者：特に思い当たることはないです。
27. 医師：普段の生活でストレスを感じることがありますか？
28. 患者：仕事で忙しいときはストレスが溜まります。
29. 医師：仕事の忙しさが影響している可能性がありますね。
30. 患者：可能性はありますね。
31. 医師：頭痛の発作の前に何か予兆がありますか？
32. 患者：特に予兆は感じないです。
33. 医師：他に眠れないなどの不眠症状はありますか？
34. 患者：そのせいか寝不足を感じることが多いです。
35. 医師：それはつらそうですね。普段の睡眠はどのくらいとれていますか？
36. 患者：だいたい4、5時間くらいです。
37. 医師：良い睡眠をとることが大切です。この頭痛は生活にどの程度影響していますか？
38. 患者：日常生活に支障が出ることがあります。
39. 医師：具体的にはどのような影響がありますか？
40. 患者：仕事中に集中できなくなります。
41. 医師：他にはどういった影響がありますか？
42. 患者：友達と遊ぶのも控えるようになりました。
43. 医師：友人との時間も大事ですからね。最近の仕事の環境はどうですか？
44. 患者：最近、プロジェクトが重なって非常に忙しいです。
45. 医師：それがストレスの原因になっているかもしれませんね。
46. 患者：そうかもしれませんね。
47. 医師：症状が起こる前に何か特別な食事を摂っていますか？
48. 患者：特に変わったものは食べていないと思います。
49. 医師：睡眠環境は快適ですか？
50. 患者：まあ、いつも通りです。"
