"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：3時間くらい前に、左の手足の力が入らなくなりました。  
3. 医師：左手と左足ですか。他には何か変わったことがありましたか？  
4. 患者：物がぼやけて二重に見えたんです。  
5. 医師：視界がぼやけるのと二重に見えるのは同時に起きましたか？  
6. 患者：はい、同時に起きて、ちょっと焦りました。  
7. 医師：他に何か違和感がありましたか？例えば話しづらかったりしましたか？  
8. 患者：そうですね、言葉が上手く出なくて、モゴモゴした感じがありました。  
9. 医師：症状はどのくらい続きましたか？  
10. 患者：全部で30分くらいで、気がついたら良くなっていました。  
11. 医師：その後、また同じ症状が出たりしましたか？  
12. 患者：いえ、それからは特に問題ありませんでした。  
13. 医師：これまでに同じような症状を経験したことはありますか？  
14. 患者：いえ、こんなことは初めてです。  
15. 医師：健康診断などでは何か異常がありましたか？血圧やコレステロールなど。  
16. 患者：血圧は少し高めと言われたことがありますが、特に治療はしていません。  
17. 医師：他に飲んでいる薬や病気で通院していることはありますか？  
18. 患者：特にありませんが、年齢からして健康管理は気をつけているつもりです。  
19. 医師：症状が出ているとき、意識ははっきりしていましたか？  
20. 患者：はい、ボーッとすることはなく普通に話せましたがモゴモゴしてました。  
21. 医師：麻痺のような症状ですが、体のどこか感覚に異常はありませんでしたか？  
22. 患者：いいえ、感覚のしびれや痛みは全然ありませんでした。  
23. 医師：立ち上がろうとしたときによろけたり、バランスを崩すことはありましたか？  
24. 患者：多少歩きづらかったですが、すぐ座ったので転ばず済みました。  
25. 医師：ちなみに最近お酒を飲んだり、何か特別疲れることをしていませんか？  
26. 患者：あまりお酒は飲まないのですが、昨日は少し飲みすぎたかもしれません。  
27. 医師：わかりました。家族の方はこの症状について何かおっしゃっていましたか？  
28. 患者家族：突然、顔色が悪くなって、話しかけてもあんまりはっきり返せなくて心配でした。  
29. 医師：同じような症状が続けばまた教えてください。最近、物忘れや混乱などはありましたか？  
30. 患者：物忘れは年相応に少しありますが、特に大きく困ることはないです。  
31. 医師：大きく気になることはなかったんですね。普段の生活で特に身体的な不調はどうでしょうか？  
32. 患者：特にありませんが、最近少し歩くと疲れやすくなった気がします。  
33. 医師：その疲れやすさはいつ頃からですか？心当たりがありますか？  
34. 患者：半年くらい前からです。でも、年だからかなと思っていました。  
35. 医師：わかりました。では、日常的に運動はされていますか？  
36. 患者：ウォーキングを1日30分ぐらいやっています。  
37. 医師：それは良いですね。食生活や塩分を控える意識はされていますか？  
38. 患者：あまり塩分に気をつけていませんが、野菜は意識して食べています。  
39. 医師：普段の仕事や趣味でストレスや疲労はたまりやすいと感じますか？  
40. 患者：特にストレスは感じていませんが、一日中座っていることが多いです。  
41. 医師：ありがとうございます。症状の出たきっかけになるようなデスクワークの時間でしたか？  
42. 患者：いえ、家で新聞を読んでいるときに突然起きたんです。  
43. 医師：その症状が特定の動作や姿勢で増悪しないことも確認しておきますね。首や肩こりなども関係はなさそうですか？  
44. 患者：特には気になりませんでした。  
45. 医師：今のお話や検査結果から、これは一過性脳虚血発作、いわゆるTIAの可能性が高いです。  
46. 患者：TIAですか？それはどういう病気なんですか？  
47. 医師：脳への血流が一時的に低下し、一過性の症状が起こる状態を示します。ただし危険なサインです。  
48. 患者：危険なんですね…。これからどうすればいいでしょうか？  
49. 医師：予防として、血液をさらさらにする薬とコレステロールを低下させる薬を使います。  
50. 患者：そうやって予防していくことが重要なんですね。ありがとうございます。"
