"1. 医師：こんにちは、今日どのような症状でお越しになりましたか？  
2. 患者：仕事中に急に息が苦しくなって、胸が締めつけられるように感じました。それと、すごく不安になりました。  
3. 医師：その症状はいつ頃から始まりましたか？  
4. 患者：1時間くらい前です。仕事していたら突然でした。  
5. 医師：何かきっかけはありましたか？例えば激しい運動をしたとか、強いストレスがあったとか？  
6. 患者：特に運動はしてないですが、職場での人間関係のことを考えてて、少しストレスを感じていました。  
7. 医師：そうですか。過去にこういう症状が出たことはありますか？  
8. 患者：似たようなことはあります。不安発作が時々起きます。でも最近はなかったです。  
9. 医師：その不安発作の時、医師にかかったり治療を受けたことはありますか？  
10. 患者：何年か前に不安障害と診断されましたけど、特に薬は飲んでなくて、自分でなんとかしてました。  
11. 医師：ちなみに、今回の症状で手や足がしびれるような感じはありましたか？  
12. 患者：はい、手の指と口の周りが少ししびれる感じがします。  
13. 医師：呼吸に関してですが、普段と比べて早くなっていると感じますか？  
14. 患者：そうですね、息が浅くて早い気がします。  
15. 医師：胸の痛みについてですが、押したりすると痛みますか？  
16. 患者：押しても痛くはないです。ただなんか重い感じがずっとあります。  
17. 医師：呼吸困難感以外に、動悸や冷や汗のようなものはありましたか？  
18. 患者：動悸はかなり感じてました。でも汗はそんなにかいてないと思います。  
19. 医師：この症状が起きたとき、何か特別な動きをしたとか、食事をした直後とか、そういう事情はありましたか？  
20. 患者：いえ、特にそういうことはないです。ただ椅子に座って仕事をしてました。  
21. 医師：わかりました。気分的には、その時どのように感じていましたか？  
22. 患者：とにかく不安で怖くなってしまって、何が起きているのかわからなくなりました。  
23. 医師：普段の生活の中で、ストレスを感じることが多いですか？  
24. 患者：そうですね、特に職場ではストレスを感じることが多いです。  
25. 医師：お仕事では、人間関係に特に悩むことが多いですか？  
26. 患者：はい、同僚と意見が合わなくて、少し気を遣いすぎている自分がいます。  
27. 医師：睡眠についてですが、最近よく眠れていますか？  
28. 患者：あまり眠れていないです。寝つきも悪いし、たまに夜中に目が覚めます。  
29. 医師：わかりました。今回の症状に戻りますが、急に動いたり深呼吸すると悪化しますか？  
30. 患者：いいえ、そこまで変わらないですが、呼吸自体が苦しくて落ち着きません。  
31. 医師：感覚として、息がたくさん入ってこない感じですか、それとも息が出しづらい感じですか？  
32. 患者：息が吸いきれない感じです。  
33. 医師：胸部以外に痛む場所や、不快感を感じる場所はありますか？  
34. 患者：特にないです。  
35. 医師：全身の倦怠感や力が入らないような感じはありますか？  
36. 患者：そんなことはありません。  
37. 医師：先ほどしびれがあるとおっしゃいましたが、それが広がるような感じはありますか？  
38. 患者：いえ、手と口の周りだけです。  
39. 医師：既往歴について、過去に心臓や肺の病気などの診断を受けたことはありますか？  
40. 患者：いいえ、そういう病気はありません。  
41. 医師：家族に何か病気を持っている方はいらっしゃいますか？  
42. 患者：特に心臓とか肺の病気を持っている人はいないです。  
43. 医師：お飲みになっている薬やサプリメントなどはありますか？  
44. 患者：特にありません。  
45. 医師：最近、めまいや意識が遠のくようなことはありましたか？  
46. 患者：いえ、そこまではないです。  
47. 医師：わかりました。症状の原因がいくつか考えられますが、今の話や検査結果から判断して、過換気症候群の可能性が高いです。  
48. 患者：過換気症候群ですか？  
49. 医師：はい、精神的なストレスや不安で過呼吸が起きる疾患です。これが原因でしびれなどが出ることもあります。  
50. 患者：それでこんな症状が出るんですね…ありがとうございました。  "
