"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：最近、曜日を間違えたりすることが多くて、人の名前も思い出せなくなってきたんです。  
3. 医師：どれくらい前からそのような症状が始まりましたか？  
4. 患者：2年くらい前から少し気になり始めて…。でもここ1年で特にひどくなってきました。  
5. 医師：具体的にはどのような間違いや忘れ物がありますか？  
6. 患者：たとえば、今日は月曜日だと思ったら実は日曜日だったり、友達の名前がすぐに出てこなかったりします。  
7. 医師：日付や場所が分からなくなることもありますか？  
8. 患者：はい。時々、ここってどこだっけって混乱することがあります。  
9. 医師：お買い物やお金の管理はどうですか？  
10. 患者：そうですね…買い物のときにお釣りを計算するのが難しくなってきました。  
11. 医師：そのことについてご家族から何かお伺いしていますか？  
12. 家族：はい。母が金額を間違えることが増えていて、心配していました。それに家事もあまりしなくなりましたね。  
13. 医師：家事について具体的に教えていただけますか？  
14. 家族：以前は料理や掃除を積極的にしてくれていたのですが、最近は「面倒だ」と言ってほとんどやらなくなりました。  
15. 医師：性格の面で変わったところはありますか？  
16. 家族：以前は穏やかだったんですけど、最近は怒りっぽくなった気がします。  
17. 医師：それ以外に何か気になる点はありますか？  
18. 家族：会話中に言葉が出てこなくて、途中で「あれ、それ」と言うことが増えていますね。  
19. 医師：身体的には苦しそうなところはありますか？例えば、痛みや筋力が弱くなったということは？  
20. 患者：関節リウマチがあるので膝とかは時々痛みますが、それ以外は特にありません。  
21. 医師：歩くことや転倒の経験はありますか？  
22. 患者：いえ、歩くのは普通にできています。  
23. 医師：お薬はどのようなものを飲まれていますか？  
24. 患者：関節リウマチの薬と、心房細動の薬を飲んでいます。それ以外は特にありません。  
25. 医師：最近、新しい薬を飲み始めたり、薬の変更はありましたか？  
26. 患者：いいえ、それはありません。  
27. 医師：睡眠や食欲はどうですか？  
28. 患者：眠りは少し浅い感じがしますが、食事は普通にとれています。  
29. 医師：今までに大きなけがや病気で入院したことはありますか？  
30. 患者：特にそういう経験はありません。  
31. 医師：最近熱が出たり、感染症にかかったりしたことはありますか？  
32. 患者：いいえ、特にはありませんね。  
33. 医師：普段どのような活動をされていますか？  
34. 患者：テレビを見たり、友達と話したりするのが主ですね。でも前よりやる気が出ないです。  
35. 医師：友達との会話で話す内容を忘れたり、続かなくなったことはありますか？  
36. 患者：はい、話している途中で何を言おうとしていたか忘れたりします。  
37. 医師：趣味や楽しみの活動は続けられていますか？  
38. 患者：昔は編み物をやっていましたが、最近はやる気がなくて…。  
39. 医師：感情的になったり、不安を感じることは増えていますか？  
40. 家族：そうですね、不安そうにしていることが増えたと思います。  
41. 医師：頭痛やめまい、吐き気は感じますか？  
42. 患者：いえ、そういう症状はないです。  
43. 医師：最近、体の一部が動かしにくくなったりしたことはありますか？  
44. 患者：特にありません。  
45. 医師：視力や聴力で問題を感じることはありますか？  
46. 患者：視力は悪くなってきているけど、年齢のせいかなと思っています。聴力は特に問題ないです。  
47. 医師：食べ物や飲み物を飲み込むのが難しいことはありますか？  
48. 患者：いいえ、それは大丈夫です。  
49. 医師：少し検査結果についてもお話しさせていただきますが、脳の画像で記憶を司る部分が少し萎縮していることがわかりました。  
50. 患者：それは何を意味するんですか？  
51. 医師：これまでの症状や検査結果から、アルツハイマー病の可能性が高いと考えられます。"
